cycle,Finca,day,feed,initial_density,initial_population,initial_weight,morning_oxygen,morning_temperature,survival_rate,weight,sgr,fca
AGLIPESCA Ps 56U-2018 Marzo 6.xls,Aglipesca,71,1407.835821,11.35447761,1521500,0.2,3.825714286,28.57142857,80,18,0.253521127,0.9
AGLIPESCA Ps 56V-2018 Julio 4.xls,Aglipesca,105,4147.014925,20,2680000,0.1,3.657692308,27.53942308,79,18.5,0.176190476,1.4
AGLIPESCA Ps 56W-2018 Noviembre 9.xls,Aglipesca,122,4574.626866,15.67164179,2100000,0.2,3.807213115,25.08114754,81,23,0.18852459,1.6
AGLIPESCA Ps 56X-2019 Febrero 25.xls,Aglipesca,106,3460.820896,11.94029851,1600000,0.2,3.890384615,27.33557692,53,25,0.235849057,2.2
AGLIPESCA Ps 57R-2016 Noviembre 2.xls,Aglipesca,98,3053.90625,12.96875,1660000,0.1,3.953061224,25.42857143,79,16,0.163265306,1.9
AGLIPESCA Ps 57S-2017 Febrero 28.xls,Aglipesca,94,2946.484375,11.953125,1530000,0.1,3.722765957,27.93617021,55,22,0.234042553,2
AGLIPESCA Ps 57T-2017 Junio 10.xls,Aglipesca,63,2228.90625,12.6171875,1615000,0.8,3.988709677,28.54516129,75,20,0.317460317,1.2
AGLIPESCA Ps 57V-2018 Enero 21.xls,Aglipesca,98,3643.359375,16.53515625,2116500,0.2,3.804123711,26.47938144,61,20,0.204081633,1.8
AGLIPESCA Ps 57W-2018 Abril 16.xls,Aglipesca,82,2779.296875,14.21875,1820000,0.05,3.6675,28.745,72,20,0.243902439,1.4
AGLIPESCA Ps 57X-2018 Agosto 15.xls,Aglipesca,112,3473.4375,20.24609375,2591500,0.05,3.732142857,26.22232143,45,22.8,0.203571429,1.7
AGLIPESCA Ps 57Y-2019 Enero 27.xls,Aglipesca,127,5152.34375,14.609375,1870000,0.2,3.816,25.9784,78,23.5,0.18503937,1.9
AGLIPESCA Ps 58Q-2016 Octubre 19.xls,Aglipesca,118,4299.57265,11.02564103,1290000,0.1,4.113675214,25.8042735,100,21,0.177966102,1.9
AGLIPESCA Ps 58R-2017 Marzo 4.xls,Aglipesca,101,3995.299145,12.56410256,1470000,0.2,3.695,27.869,69,22.5,0.222772277,2.1
AGLIPESCA Ps 58S-2017 Junio 14.xls,Aglipesca,67,2282.478632,12.35042735,1445000,0.2,4.327272727,28.55151515,64,21.5,0.320895522,1.3
AGLIPESCA Ps 58T-2017 Octubre 8.xls,Aglipesca,96,2767.094017,13.07692308,1530000,0.1,4.204210526,25.64421053,66,18,0.1875,1.8
AGLIPESCA Ps 58U-2018 Eenero 19.xls,Aglipesca,96,3817.094017,15.81794872,1850700,0.2,3.811702128,26.47340426,74,19,0.197916667,1.7
AGLIPESCA Ps 58V-2018 Abril 16.xls,Aglipesca,82,2829.059829,11.68376068,1367000,0.05,3.675308642,28.64691358,73,22.4,0.273170732,1.5
AGLIPESCA Ps 58W-2018 Agosto 15.xls,Aglipesca,112,3641.452991,20.52735043,2401700,0.05,3.782882883,26.23063063,53,21.7,0.19375,1.5
AGLIPESCA Ps 58X-2018 Diciembre 23.xls,Aglipesca,113,4811.965812,14.52991453,1700000,0.1,3.752252252,25.10990991,100,20.5,0.181415929,1.6
AGLIPESCA Ps 59Q-2017 Enero 4.xls,Aglipesca,116,4581.2,12,1500000,0.2,3.820869565,26.18086957,100,21.5,0.185344828,1.8
AGLIPESCA Ps 59R-2017 Abril 23.xls,Aglipesca,78,2812,9.6,1200000,0.25,3.993421053,28.425,84,19.1,0.244871795,1.8
AGLIPESCA Ps 59S-2017 Agosto 9.xls,Aglipesca,90,3502,13.6,1700000,0.4,4.146067416,27.25168539,78,22.5,0.25,1.5
AGLIPESCA Ps 59T-2017 Diciembre 20.xls,Aglipesca,113,3459.2,14.544,1818000,0.05,3.776785714,25.38839286,76,18.7,0.165486726,1.7
AGLIPESCA Ps 59U-2018 Marzo 20.xls,Aglipesca,85,1806.8,12.8792,1609900,0.2,3.810843373,28.38433735,36,21,0.247058824,1.9
AGLIPESCA Ps 59V-2018 Julio 8.xls,Aglipesca,92,4033.2,17,2125000,0.05,3.284444444,27.24,49,23.5,0.255434783,2.1
AGLIPESCA Ps 59W-2018 Diciembre 30.xls,Aglipesca,121,4882,15.708,1963500,0.2,3.53697479,25.14285714,100,20.5,0.169421488,1.5
AGLIPESCA Ps 5A-2019 Julio 5.xls,Aglipesca,88,4304.6875,16.25,1040000,0.4,3.364772727,27.45909091,74,22.6,0.256818182,1.6
AGLIPESCA Ps 5B-2019 Octubre 26.xls,Aglipesca,102,3410.15625,15.75,1008000,0.3,3.976237624,25.02574257,57,23,0.225490196,1.7
AGLIPESCA Ps 61R-2017 Febrero 15.xls,Aglipesca,100,3868.981481,11.80555556,1275000,0.2,3.779,27.166,80,19.6,0.196,2.1
AGLIPESCA Ps 61S-2017 Junio 19.xls,Aglipesca,77,3145.37037,13.03703704,1408000,0.2,3.944155844,28.5025974,76,20.5,0.266233766,1.6
AGLIPESCA Ps 61T-2017 Octubre 8.xls,Aglipesca,90,2689.814815,11.25462963,1215500,0.2,4.2125,25.53181818,80,19,0.211111111,1.6
AGLIPESCA Ps 61U-2018 Enero 17.xls,Aglipesca,93,3379.166667,16.15,1744200,0.2,4.007608696,26.40217391,81,20,0.215053763,1.3
AGLIPESCA Ps 61V-2018 Abril 14.xls,Aglipesca,79,2428.240741,12.08333333,1305000,0.05,3.629487179,28.67179487,72,20,0.253164557,1.4
AGLIPESCA Ps 61W-2018 Agosto 15.xls,Aglipesca,112,3622.222222,20.88611111,2255700,0.05,3.752252252,26.18918919,49,21.4,0.191071429,1.7
AGLIPESCA Ps 61X-2018 Diciembre 27.xls,Aglipesca,119,4698.611111,16.64583333,1797750,0.05,3.763559322,25.1720339,82,21,0.176470588,1.6
AGLIPESCA Ps 62R-2017 Enero 14.xls,Aglipesca,129,6079.316389,13.58457493,1550000,0.05,3.86015625,26.26328125,68,22,0.170542636,3
AGLIPESCA Ps 62S-2017 Abril 29.xls,Aglipesca,83,2699.386503,10.8913234,1242700,0.2,4.25,28.66829268,72,20,0.240963855,1.7
AGLIPESCA Ps 62T-2017 Julio 20.xls,Aglipesca,74,2375.109553,10.14022787,1157000,0.2,4.212328767,27.79315068,90,21,0.283783784,1.2
AGLIPESCA Ps 62U-2017 Diciembre 19.xls,Aglipesca,112,3791.411043,16.98071867,1937500,0.1,4.061261261,25.71621622,65,18.5,0.165178571,1.9
AGLIPESCA Ps 62V-2018 Marzo 19.xls,Aglipesca,84,1909.290096,13.65512708,1558050,0.2,3.892771084,28.43614458,36,23,0.273809524,1.7
AGLIPESCA Ps 62W-2018 Julio 17.xls,Aglipesca,101,4521.472393,17.87905346,2040000,0.1,3.662,26.915,72,23,0.227722772,1.5
